sku_id,purchase_quantity_for_selected_duration
1,831530
2,2247948
3,1458180
4,849228
5,648564
6,89088
7,1266712
8,1027854
9,773313
10,645232
11,534055
12,148134
13,1336280
14,503918
16,431613
17,466860
18,279448
19,29939
20,187842
21,200882
22,454776
23,848106
24,260109
25,334160
26,323744
27,45504
28,15472
29,135668
30,75190
31,117414
32,203258
33,233920
34,418206
35,54846
36,24882
37,39436
38,1871940
39,0
40,1649340
41,109794
42,163039
43,0
44,127963
45,876
46,548118
47,1456
48,47328
49,150682
50,17304
51,0
52,47850
54,2144
55,316896
56,69767
58,86262
59,9436
60,11136
65,41650
67,215614
71,185268
72,2246076
74,719715
77,0
78,0
79,626884
80,327732
81,467012
82,633040
83,115752
85,64236
87,747096
90,2206134
91,1479525
92,2640780
93,982839
94,1015365
95,2803107
96,407363
97,495704
98,227754
99,32508
